id,uf,descricao
1,AC,ACRE
2,AL,ALAGOAS
3,AP,AMAPA
4,AM,AMAZONAS
5,BA,BAHIA
6,CE,CEARA
7,DF,DISTRITO FEDERAL
8,ES,ESPIRTO SANTO
9,GO,GOIAS
10,MA,MARANHAO
11,MT,MATO GROSSO
12,MS,MATO GROSSO DO SUL
13,MG,MINAS GERAIS
14,PA,PARA
15,PB,PARAIBA
16,PR,PARANA
17,PE,PERNAMBUCO
18,PI,PIAUI
19,RJ,RIO DE JANEIRO
20,RN,RIO GRANDE DO NORTE
21,RS,RIO GRANDE DO SUL
22,RO,RONDONIA
23,RR,RORAIMA
24,SC,SANTA CATARINA
25,SE,SERGIPE
26,SP,SAO PAULO
27,TO,TOCANTINS
